text,label
"The staff was incredibly kind and made me feel at ease throughout my visit.",positive
"My doctor took the time to explain everything clearly. I felt truly cared for.",positive
"The nurses were attentive and checked on me regularly. Outstanding service.",positive
"I was seen promptly and the entire team was professional and compassionate.",positive
"The facility was clean and modern. The doctor was thorough and reassuring.",positive
"Everyone from reception to the specialist treated me with respect and warmth.",positive
"The care I received was exceptional. I would highly recommend this hospital.",positive
"My concerns were taken seriously and addressed immediately. Very impressed.",positive
"The doctor was patient and answered all my questions without rushing me.",positive
"Wonderful experience overall. The nursing staff went above and beyond.",positive
"The waiting time was over two hours with no explanation or apology.",negative
"The doctor seemed distracted and dismissed my symptoms without proper examination.",negative
"I was treated rudely by the front desk staff when I asked a simple question.",negative
"My prescription was wrong and no one followed up after I reported the error.",negative
"The room was dirty and the call button was broken. Completely unacceptable.",negative
"Staff were unprofessional and I overheard them laughing about patients.",negative
"I waited three days for test results that were promised within 24 hours.",negative
"The doctor interrupted me constantly and never let me finish explaining my symptoms.",negative
"No one explained the procedure beforehand. I was left confused and anxious.",negative
"Billing was a nightmare. I was charged for services I never received.",negative
"The appointment was on time and the doctor was polite, though the waiting room was crowded.",neutral
"The facility was adequate. Nothing stood out as particularly good or bad.",neutral
"My visit was straightforward. The staff did their job without any issues.",neutral
"The check-in process was smooth but the consultation felt a bit rushed.",neutral
"The doctor addressed my issue but did not offer much explanation about follow-up care.",neutral
"Standard experience. The care was acceptable but not memorable.",neutral
"The nurse was professional during the blood draw, though the wait was longer than expected.",neutral
"The hospital was easy to navigate and parking was available, though the cafeteria was closed.",neutral
"I received the treatment I needed. The environment was functional if not especially welcoming.",neutral
"The appointment went as expected. No complaints but nothing exceptional either.",neutral
